Data;21134 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas jurídicas - Crédito rural com taxas de mercado - %;21135 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas jurídicas - Crédito rural com taxas reguladas - %;21137 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas jurídicas - Financiamento imobiliário com taxas de mercado - %;21138 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas jurídicas - Financiamento imobiliário com taxas reguladas - %;21140 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas jurídicas - Capital de giro com recursos do BNDES - %;21141 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas jurídicas - Financiamento de investimentos com recursos do BNDES - %;21142 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas jurídicas - Financiamento agroindustrial com recursos do BNDES - %;21144 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas jurídicas - Outros créditos direcionados - %
09/2018;0,24 ;1,19 ;8,21 ;4,62 ;5,15 ;1,88 ;0,43 ;1,07
10/2018;0,36 ;1,20 ;8,97 ;5,15 ;5,48 ;1,99 ;0,61 ;1,04
11/2018;0,34 ;1,22 ;8,18 ;4,76 ;5,80 ;1,91 ;0,45 ;0,94
12/2018;0,29 ;1,20 ;7,00 ;4,20 ;5,62 ;1,98 ;0,47 ;1,04
01/2019;0,30 ;1,32 ;5,58 ;5,64 ;5,78 ;1,83 ;0,50 ;0,99
02/2019;0,30 ;1,45 ;5,70 ;5,33 ;6,26 ;1,79 ;0,42 ;0,84
03/2019;0,23 ;1,50 ;6,60 ;5,12 ;6,29 ;2,09 ;0,44 ;0,85
04/2019;0,29 ;1,47 ;7,46 ;5,35 ;6,27 ;2,19 ;0,51 ;2,08
05/2019;0,32 ;1,59 ;9,10 ;5,54 ;6,71 ;2,15 ;0,29 ;2,18
06/2019;8,98 ;1,60 ;7,65 ;5,47 ;7,46 ;0,89 ;0,32 ;2,12
07/2019;9,01 ;1,66 ;9,59 ;6,92 ;8,77 ;0,73 ;0,32 ;2,16
08/2019;9,03 ;1,62 ;11,99 ;7,13 ;8,93 ;0,73 ;0,63 ;2,44
09/2019;8,84 ;1,62 ;11,27 ;8,17 ;9,26 ;0,75 ;0,65 ;2,48
10/2019;8,92 ;1,48 ;9,97 ;8,34 ;9,45 ;0,72 ;0,76 ;2,65
11/2019;9,15 ;1,51 ;7,95 ;8,14 ;9,97 ;0,75 ;0,74 ;2,41
12/2019;9,55 ;1,16 ;7,69 ;6,90 ;10,40 ;1,03 ;0,69 ;2,55
01/2020;9,58 ;1,19 ;6,49 ;7,46 ;11,29 ;0,83 ;0,70 ;2,56
02/2020;9,48 ;1,11 ;6,47 ;8,28 ;11,85 ;0,93 ;0,69 ;1,82
03/2020;9,51 ;1,09 ;8,54 ;8,21 ;12,40 ;0,84 ;0,44 ;0,93
04/2020;9,35 ;1,01 ;8,63 ;7,63 ;10,95 ;0,97 ;0,50 ;2,20
05/2020;9,44 ;1,01 ;8,12 ;8,36 ;8,88 ;0,95 ;0,49 ;2,47
06/2020;9,81 ;1,01 ;6,57 ;7,11 ;7,67 ;0,95 ;0,50 ;1,93
07/2020;10,11 ;0,98 ;8,01 ;7,28 ;7,50 ;0,87 ;0,56 ;1,65
08/2020;10,19 ;1,03 ;7,84 ;6,40 ;6,78 ;1,42 ;0,53 ;1,28
09/2020;9,91 ;1,07 ;6,85 ;5,26 ;6,49 ;0,65 ;0,41 ;0,97
10/2020;10,49 ;1,13 ;9,13 ;6,00 ;6,24 ;0,43 ;0,43 ;0,88
11/2020;0,38 ;1,14 ;8,85 ;5,42 ;5,42 ;0,46 ;0,44 ;0,73
12/2020;0,37 ;1,19 ;6,78 ;5,22 ;4,24 ;0,39 ;0,38 ;0,70
01/2021;0,36 ;1,25 ;4,76 ;5,29 ;4,60 ;0,43 ;0,40 ;0,16
02/2021;0,19 ;1,26 ;5,25 ;5,98 ;4,73 ;0,42 ;0,39 ;1,38
03/2021;0,16 ;1,27 ;2,66 ;2,58 ;4,80 ;0,38 ;0,45 ;0,17
04/2021;0,19 ;1,26 ;3,37 ;2,91 ;4,97 ;0,45 ;0,47 ;0,34
05/2021;0,18 ;1,30 ;19,98 ;2,45 ;7,74 ;0,67 ;0,41 ;0,40
06/2021;0,18 ;1,21 ;19,54 ;2,47 ;7,79 ;0,77 ;0,41 ;0,47
07/2021;0,19 ;1,22 ;19,76 ;3,75 ;8,20 ;0,91 ;0,19 ;0,45
08/2021;0,20 ;1,04 ;19,27 ;4,08 ;8,53 ;0,77 ;0,28 ;0,56
09/2021;0,17 ;0,96 ;4,00 ;3,18 ;8,89 ;0,85 ;0,30 ;0,75
10/2021;0,15 ;0,95 ;3,75 ;2,38 ;9,81 ;0,81 ;0,25 ;0,82
11/2021;0,17 ;0,95 ;2,70 ;2,01 ;14,06 ;0,80 ;0,21 ;0,94
12/2021;0,11 ;0,83 ;2,23 ;1,51 ;14,99 ;0,78 ;0,13 ;1,04
01/2022;0,07 ;0,74 ;1,84 ;1,44 ;15,51 ;0,80 ;0,15 ;1,17
02/2022;0,08 ;0,72 ;1,82 ;1,29 ;15,03 ;0,92 ;0,14 ;1,27
03/2022;0,08 ;0,74 ;1,90 ;1,27 ;15,58 ;0,82 ;0,18 ;1,40
04/2022;0,12 ;0,75 ;2,29 ;1,40 ;15,72 ;0,79 ;0,21 ;1,51
05/2022;0,12 ;0,78 ;1,60 ;1,37 ;15,81 ;0,78 ;0,19 ;1,54
06/2022;0,10 ;0,79 ;1,62 ;0,94 ;16,83 ;0,76 ;0,18 ;1,38
