Data;7929 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Cheque especial - %;7930 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Crédito pessoal - %;7931 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Financiamento imobiliário - Pessoa física - %;7932 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Aquisição de bens veículos - Pessoa física - %;7933 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Aquisição de outros bens - Pessoa física - %;7934 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Cartão de crédito - Pessoa física - %;7935 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Outras operações - Pessoa física - %
03/2008;8,53 ;5,09 ;2,67 ;3,31 ;12,03 ;23,95 ;14,75
04/2008;8,27 ;5,14 ;3,10 ;3,46 ;12,88 ;25,40 ;15,40
05/2008;8,90 ;5,27 ;2,92 ;3,68 ;13,23 ;25,26 ;16,56
06/2008;8,01 ;5,07 ;3,03 ;3,58 ;13,85 ;24,69 ;13,15
07/2008;8,37 ;5,21 ;3,20 ;3,68 ;13,72 ;26,16 ;14,06
08/2008;8,96 ;5,32 ;3,18 ;3,77 ;13,80 ;26,51 ;14,28
09/2008;8,97 ;5,24 ;3,22 ;3,77 ;13,40 ;25,58 ;12,31
10/2008;9,28 ;5,39 ;2,95 ;3,89 ;13,50 ;27,07 ;16,66
11/2008;9,99 ;5,42 ;3,04 ;4,10 ;13,93 ;26,72 ;17,05
12/2008;10,65 ;5,52 ;3,28 ;4,34 ;13,90 ;27,34 ;17,61
01/2009;10,20 ;5,69 ;3,11 ;4,57 ;13,81 ;27,83 ;18,20
02/2009;10,18 ;5,82 ;3,25 ;4,90 ;14,10 ;26,98 ;18,63
03/2009;9,66 ;5,80 ;3,48 ;4,97 ;14,17 ;27,20 ;18,47
04/2009;9,96 ;5,74 ;3,21 ;5,21 ;14,58 ;26,60 ;18,87
05/2009;10,79 ;5,57 ;3,08 ;5,33 ;15,79 ;27,76 ;21,64
06/2009;10,47 ;5,28 ;3,21 ;5,45 ;15,55 ;28,43 ;21,86
07/2009;11,33 ;5,30 ;3,06 ;5,34 ;15,19 ;28,26 ;22,53
08/2009;11,68 ;5,29 ;3,21 ;5,13 ;14,83 ;27,48 ;23,75
09/2009;11,95 ;5,20 ;3,26 ;4,90 ;14,70 ;27,65 ;21,88
10/2009;12,29 ;5,23 ;3,52 ;4,72 ;14,09 ;27,58 ;24,22
11/2009;12,13 ;5,18 ;3,41 ;4,62 ;13,27 ;27,22 ;24,09
12/2009;12,82 ;5,04 ;3,04 ;4,37 ;12,08 ;26,72 ;24,18
01/2010;11,70 ;4,91 ;2,84 ;4,33 ;10,94 ;25,89 ;24,85
02/2010;10,26 ;4,72 ;2,95 ;4,20 ;10,46 ;24,76 ;24,42
03/2010;9,44 ;4,60 ;2,96 ;4,04 ;10,28 ;24,72 ;25,16
04/2010;9,54 ;4,49 ;2,89 ;3,86 ;10,18 ;24,91 ;23,48
05/2010;9,57 ;4,63 ;2,80 ;3,76 ;10,73 ;24,31 ;23,76
06/2010;9,11 ;4,46 ;2,80 ;3,53 ;10,60 ;24,08 ;22,57
07/2010;9,76 ;4,44 ;2,71 ;3,35 ;10,71 ;24,14 ;19,69
08/2010;10,09 ;4,40 ;2,66 ;3,21 ;10,29 ;24,11 ;20,22
09/2010;9,29 ;4,31 ;2,57 ;3,10 ;9,77 ;23,79 ;19,74
10/2010;9,58 ;4,29 ;2,28 ;3,07 ;9,40 ;22,87 ;20,89
11/2010;9,24 ;4,24 ;2,23 ;2,98 ;9,32 ;24,09 ;19,19
12/2010;10,13 ;4,21 ;2,06 ;2,49 ;8,79 ;24,23 ;19,97
01/2011;9,20 ;4,22 ;2,13 ;2,64 ;8,78 ;24,55 ;18,28
02/2011;8,41 ;4,32 ;1,95 ;2,80 ;9,72 ;23,95 ;19,93
03/2011;7,94 ;4,39 ;2,13 ;3,01 ;10,33 ;24,72 ;20,34
04/2011;7,90 ;4,47 ;2,06 ;3,25 ;11,84 ;25,26 ;19,48
05/2011;8,25 ;4,65 ;1,93 ;3,57 ;12,71 ;26,23 ;19,08
06/2011;8,45 ;4,66 ;1,86 ;3,75 ;13,22 ;26,26 ;17,99
07/2011;8,96 ;4,78 ;1,83 ;3,99 ;13,51 ;26,70 ;17,78
08/2011;9,59 ;4,96 ;1,71 ;4,19 ;13,88 ;27,72 ;16,56
09/2011;9,50 ;5,04 ;1,56 ;4,41 ;13,72 ;27,77 ;16,38
10/2011;9,51 ;5,22 ;1,54 ;4,69 ;13,98 ;27,56 ;16,12
11/2011;10,13 ;5,46 ;1,55 ;4,89 ;13,79 ;27,75 ;15,19
12/2011;11,44 ;5,45 ;1,46 ;5,01 ;13,90 ;28,33 ;13,77
01/2012;10,81 ;5,66 ;1,51 ;5,26 ;14,03 ;27,70 ;17,10
02/2012;10,45 ;5,62 ;1,52 ;5,52 ;13,61 ;27,03 ;17,04
03/2012;10,55 ;5,30 ;1,59 ;5,70 ;12,93 ;26,64 ;17,52
04/2012;10,08 ;5,58 ;1,62 ;5,90 ;13,45 ;27,02 ;18,37
05/2012;11,29 ;5,70 ;1,60 ;6,10 ;13,87 ;28,05 ;19,55
06/2012;11,64 ;5,73 ;1,62 ;6,01 ;14,08 ;27,78 ;17,07
07/2012;11,75 ;5,87 ;1,64 ;5,99 ;14,20 ;27,99 ;16,36
08/2012;12,17 ;5,98 ;1,57 ;5,88 ;13,72 ;28,05 ;16,43
09/2012;12,20 ;6,01 ;1,56 ;6,01 ;13,38 ;28,33 ;15,81
10/2012;12,08 ;6,20 ;1,53 ;5,87 ;12,82 ;28,26 ;15,45
11/2012;12,13 ;6,27 ;1,54 ;5,60 ;12,65 ;27,97 ;14,37
12/2012;13,97 ;6,39 ;1,44 ;5,31 ;12,01 ;28,60 ;15,21
Fonte;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT
