Data;21146 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas físicas - Crédito rural com taxas de mercado - %;21147 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas físicas - Crédito rural com taxas reguladas - %;21149 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas físicas - Financiamento imobiliário com taxas de mercado - %;21150 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas físicas - Financiamento imobiliário com taxas reguladas - %;21152 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas físicas - Capital de giro com recursos do BNDES - %;21153 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas físicas - Financiamento de investimentos com recursos do BNDES - %;21154 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas físicas - Financiamento agroindustrial com recursos do BNDES - %;21156 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas físicas - Microcrédito destinado a consumo - %;21157 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas físicas - Microcrédito destinado a microempreendedores - %;21160 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas físicas - Outros créditos direcionados - %
07/2021;0,60 ;1,63 ;1,28 ;1,59 ;-;3,73 ;0,30 ;13,54 ;2,12 ;0,88
08/2021;0,72 ;1,59 ;1,22 ;1,56 ;-;3,46 ;0,34 ;12,13 ;2,30 ;0,65
09/2021;0,75 ;1,54 ;1,08 ;1,59 ;-;3,64 ;0,30 ;9,76 ;2,60 ;0,62
10/2021;0,70 ;1,46 ;1,02 ;1,51 ;-;3,04 ;0,26 ;8,86 ;2,95 ;0,55
11/2021;0,63 ;1,41 ;0,99 ;1,50 ;-;2,28 ;0,21 ;8,17 ;3,27 ;0,54
12/2021;0,58 ;1,33 ;1,03 ;1,41 ;-;2,29 ;0,22 ;7,28 ;3,42 ;0,49
01/2022;0,60 ;1,31 ;1,11 ;1,65 ;-;2,25 ;0,24 ;7,26 ;3,74 ;0,46
02/2022;0,55 ;1,30 ;1,14 ;1,93 ;-;2,62 ;0,25 ;7,26 ;3,90 ;0,50
03/2022;0,56 ;1,27 ;1,22 ;1,85 ;-;2,58 ;0,23 ;8,30 ;4,30 ;0,40
04/2022;0,53 ;1,23 ;1,19 ;1,76 ;-;2,42 ;0,20 ;9,25 ;4,38 ;0,43
05/2022;0,41 ;1,25 ;1,17 ;1,67 ;-;2,14 ;0,19 ;9,28 ;4,45 ;0,37
06/2022;0,35 ;1,19 ;1,08 ;1,48 ;-;3,79 ;0,15 ;6,12 ;4,24 ;0,30
07/2022;0,39 ;1,18 ;1,08 ;1,53 ;-;4,23 ;0,19 ;5,28 ;3,40 ;0,30
08/2022;0,47 ;1,14 ;1,04 ;1,49 ;-;4,25 ;0,30 ;6,01 ;5,77 ;0,26
09/2022;0,47 ;1,08 ;0,99 ;1,43 ;-;2,35 ;0,27 ;4,91 ;9,77 ;0,28
10/2022;0,50 ;0,95 ;1,04 ;1,50 ;-;2,35 ;0,24 ;4,75 ;13,92 ;0,24
11/2022;0,47 ;0,93 ;1,07 ;1,54 ;-;2,08 ;0,23 ;5,09 ;17,41 ;0,24
12/2022;0,50 ;0,90 ;1,05 ;1,46 ;-;2,01 ;0,26 ;6,61 ;19,10 ;0,27
01/2023;0,59 ;0,92 ;1,11 ;1,62 ;-;1,94 ;0,27 ;7,52 ;21,10 ;0,16
02/2023;0,62 ;0,94 ;1,15 ;1,76 ;-;2,91 ;0,29 ;6,69 ;21,64 ;1,44
03/2023;0,59 ;0,94 ;1,05 ;1,73 ;-;2,97 ;0,27 ;7,68 ;21,80 ;2,21
04/2023;0,61 ;0,96 ;1,11 ;1,94 ;-;3,98 ;0,24 ;10,67 ;21,84 ;2,15
05/2023;0,63 ;0,97 ;1,08 ;1,97 ;-;3,66 ;0,23 ;12,08 ;21,93 ;1,90
06/2023;0,60 ;0,94 ;1,01 ;1,82 ;-;3,01 ;0,24 ;15,41 ;20,16 ;1,99
07/2023;0,80 ;0,94 ;1,05 ;1,93 ;-;5,66 ;0,27 ;12,05 ;18,01 ;2,06
08/2023;0,97 ;0,92 ;0,99 ;1,88 ;-;6,05 ;0,54 ;14,59 ;13,52 ;0,91
09/2023;1,00 ;0,91 ;0,98 ;1,78 ;-;6,32 ;0,52 ;16,16 ;11,86 ;0,88
10/2023;1,08 ;1,00 ;1,00 ;1,68 ;-;5,85 ;0,53 ;19,34 ;10,06 ;2,00
11/2023;1,14 ;1,04 ;0,98 ;1,60 ;-;3,71 ;0,52 ;20,31 ;8,89 ;1,00
12/2023;1,18 ;1,09 ;0,97 ;1,49 ;-;3,54 ;0,57 ;20,66 ;7,86 ;1,12
01/2024;1,36 ;1,17 ;1,01 ;1,54 ;-;3,63 ;0,59 ;21,01 ;7,08 ;1,44
02/2024;1,42 ;1,20 ;1,00 ;1,62 ;-;1,92 ;0,60 ;20,11 ;6,77 ;2,06
03/2024;1,51 ;1,25 ;0,97 ;1,57 ;0,00 ;1,25 ;0,62 ;19,44 ;6,35 ;4,29
